COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
system_se  2018     system  171       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  172       ???                ???       ???        ??? pipe:[3185]
system_se  2018     system  173       ???                ???       ???        ??? pipe:[3185]
system_se  2018     system  174       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  175       ???                ???       ???        ??? pipe:[1628]
system_se  2018     system  176       ???                ???       ???        ??? pipe:[1628]
system_se  2018     system  177       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  178       ???                ???       ???        ??? socket:[3202]
system_se  2018     system  179       ???                ???       ???        ??? socket:[3203]
system_se  2018     system  180       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  181       ???                ???       ???        ??? pipe:[3204]
system_se  2018     system  182       ???                ???       ???        ??? pipe:[3204]
system_se  2018     system  183       ???                ???       ???        ??? pipe:[3205]
system_se  2018     system  184       ???                ???       ???        ??? pipe:[3205]
system_se  2018     system  185       ???                ???       ???        ??? pipe:[3207]
system_se  2018     system  186       ???                ???       ???        ??? pipe:[3207]
system_se  2018     system  187       ???                ???       ???        ??? /system/fonts/AndroidClock.ttf
system_se  2018     system  188       ???                ???       ???        ??? pipe:[1634]
system_se  2018     system  189       ???                ???       ???        ??? pipe:[1634]
system_se  2018     system  190       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  191       ???                ???       ???        ??? socket:[1640]
system_se  2018     system  192       ???                ???       ???        ??? /system/fonts/AndroidClock_Highlight.ttf
system_se  2018     system  193       ???                ???       ???        ??? socket:[3538]
system_se  2018     system  194       ???                ???       ???        ??? anon_inode:inotify
system_se  2018     system  195       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  196       ???                ???       ???        ??? pipe:[3377]
system_se  2018     system  197       ???                ???       ???        ??? /dev/ump
system_se  2018     system  198       ???                ???       ???        ??? /dev/mali
system_se  2018     system  199       ???                ???       ???        ??? pipe:[3377]
system_se  2018     system  200       ???                ???       ???        ??? pipe:[3340]
system_se  2018     system  201       ???                ???       ???        ??? socket:[3539]
system_se  2018     system  202       ???                ???       ???        ??? /system/app/Trebuchet.apk
system_se  2018     system  203       ???                ???       ???        ??? /data/app/com.vonglasow.michael.satstat-2.apk
system_se  2018     system  204       ???                ???       ???        ??? /system/app/Calendar.apk
system_se  2018     system  205       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  206       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  207       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  208       ???                ???       ???        ??? pipe:[3292]
system_se  2018     system  209       ???                ???       ???        ??? pipe:[3293]
system_se  2018     system  210       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  211       ???                ???       ???        ??? pipe:[1862]
system_se  2018     system  212       ???                ???       ???        ??? pipe:[1863]
system_se  2018     system  213       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  214       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  215       ???                ???       ???        ??? pipe:[1928]
system_se  2018     system  216       ???                ???       ???        ??? pipe:[1929]
system_se  2018     system  217       ???                ???       ???        ??? pipe:[3583]
system_se  2018     system  218       ???                ???       ???        ??? pipe:[7768]
system_se  2018     system  219       ???                ???       ???        ??? pipe:[3583]
system_se  2018     system  220       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  221       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  222       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  223       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  224       ???                ???       ???        ??? /data/NVM0
system_se  2018     system  225       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  226       ???                ???       ???        ??? pipe:[3302]
system_se  2018     system  227       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  228       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  229       ???                ???       ???        ??? pipe:[3302]
system_se  2018     system  230       ???                ???       ???        ??? pipe:[1710]
system_se  2018     system  231       ???                ???       ???        ??? pipe:[1711]
system_se  2018     system  232       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  233       ???                ???       ???        ??? pipe:[3303]
system_se  2018     system  234       ???                ???       ???        ??? pipe:[3303]
system_se  2018     system  235       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  236       ???                ???       ???        ??? pipe:[3316]
system_se  2018     system  237       ???                ???       ???        ??? pipe:[3316]
system_se  2018     system  238       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  239       ???                ???       ???        ??? pipe:[1726]
system_se  2018     system  240       ???                ???       ???        ??? pipe:[1726]
system_se  2018     system  241       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  242       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  243       ???                ???       ???        ??? pipe:[7768]
system_se  2018     system  244       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  245       ???                ???       ???        ??? pipe:[7809]
system_se  2018     system  246       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  247       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  248       ???                ???       ???        ??? /data/system/xprivacy/usage.db
system_se  2018     system  249       ???                ???       ???        ??? socket:[3326]
system_se  2018     system  250       ???                ???       ???        ??? socket:[3327]
system_se  2018     system  251       ???                ???       ???        ??? pipe:[3341]
system_se  2018     system  252       ???                ???       ???        ??? anon_inode:[eventpoll]
system_se  2018     system  253       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  254       ???                ???       ???        ??? /data/sirf_interface_log.txt
system_se  2018     system  255       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  256       ???                ???       ???        ??? /data/BriefLog.txt
system_se  2018     system  257       ???                ???       ???        ??? /data/SLCLog.gp2
system_se  2018     system  258       ???                ???       ???        ??? socket:[4454]
system_se  2018     system  259       ???                ???       ???        ??? pipe:[4455]
system_se  2018     system  260       ???                ???       ???        ??? pipe:[4455]
system_se  2018     system  261       ???                ???       ???        ??? /data/NVM1
system_se  2018     system  262       ???                ???       ???        ??? /data/DetailedLog.txt
system_se  2018     system  263       ???                ???       ???        ??? pipe:[5773]
system_se  2018     system  264       ???                ???       ???        ??? pipe:[5774]
system_se  2018     system  265       ???                ???       ???        ??? /data/AGPSLog.txt
system_se  2018     system  266       ???                ???       ???        ??? /data/NVM5
system_se  2018     system  267       ???                ???       ???        ??? /data/NVM2
system_se  2018     system  268       ???                ???       ???        ??? pipe:[7637]
system_se  2018     system  269       ???                ???       ???        ??? pipe:[7638]
system_se  2018     system  270       ???                ???       ???        ??? /data/NVM13
system_se  2018     system  271       ???                ???       ???        ??? /dev/ashmem
system_se  2018     system  272       ???                ???       ???        ??? /system/fonts/Roboto-Bold.ttf
system_se  2018     system  273       ???                ???       ???        ??? /system/fonts/Roboto-Italic.ttf
system_se  2018     system  274       ???                ???       ???        ??? pipe:[1894]
system_se  2018     system  275       ???                ???       ???        ??? pipe:[1895]
system_se  2018     system  276       ???                ???       ???        ??? /dev/ttySAC1
system_se  2018     system  277       ???                ???       ???        ??? /data/NVM3
system_se  2018     system  mem       ???              103:0         0          1 24929
